category,doc_id,source,current_override,candidate_classification,candidate_snippet,action_needed
마감일,한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.hwp,raw_parsed,NaT,no_info,,본문에 마감일 언급 없음 - 정말 미정일 가능성
마감일,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,raw_parsed,NaT,announced_later,"입찰 참가자격    ㅇ 입찰참가신청마감일시 이전까지 「국가종합전자조달시스템 입찰참가자격등록규정」에 의하여 국가종합전자조달시스템(나라장터)과 한국국제협력단 전자조달시스템에 다음의 입찰참가자격을 모두 등록한 자      - 소프트웨어사업자(컴퓨터관련서비스사업) (나라장터 업종코드 : 1468)    ㅇ 국가를 당사자로 하는 계약에 관한 법률 제27조, 같은 법 시행령 제76조에 따른 부정당업자",추후 공지 명시됨 - 조치 불필요
마감일,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,raw_parsed,NaT,no_info,"참가 자격을 갖춘 업체로 입찰등록 마감일 현재 부정당업체로 등록되어 있지 않은 업체이며, 아래 1) 또는 2) 조건을 만족하는 업체     1) 입찰공고일 기준 최근 3년 이내 디지털트윈(DT) 관련 사업(ISP, ISMP, 설계, 구축) 또는 연구용역 실적이 있는 업체     2) 입찰공고일 기준 최근 3년 이내 BIM 관련 사업(ISP, ISMP, 설계, 구축) 실적이 있는 업체   나",본문에 마감일 언급 없음 - 정말 미정일 가능성
마감일,세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공.hwp,raw_parsed,NaT,no_info,"한 중기업/소기업/소상공인확인서(입찰마감일 전일까지 발급된 것으로 유효기간 내에 있어야 함)를 소지한 자    ※ 단, 『중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령』 제2조의 3 제2호에 해당하는 비영리법인은 입찰 참여 가능   ❍ 중소기업제품 구매촉진 및 판로지원에 관한 법률에 의한 중소기업자(소상공인)로서 직접생산확인증명서(정보시스템 개발서비스 및 정보시스템유지관리서비스)를 보",본문에 마감일 언급 없음 - 정말 미정일 가능성
시작일,인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에 .hwp,raw_parsed,2025-01-24 19:56:15,재검토 필요,공지사항)에 게시 제안서 접수 | ∘접수기간 : 2025. 2. 20.(목) 9:00~ 17:00※점심시간(12:00~13:00)제외∘접수장소 : 인천광역시 동구청 본관 5층 문화관광과∘접수방법 :입찰등록 및 제안서 등 일체서류 접수(직접방문 제출) 제안서 평가 | ∘평가일시 : 2025. 3. 6.(목) 14:00∘평가장소 : 동구청 물치도관 갈매기홀 (예정)∘평가방법 : 업체 제안설명(P,본문에 날짜가 있으니 추정치 대신 이 값이 맞는지 확인
공고번호,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국수자원공사_건설통합시스템(CMS) 고도화.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국발명진흥회 입찰공고_2024년 건설기술에 관한 특허·실용신안 활용실.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차).hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,국민연금공단_2024년 이러닝시스템 운영 용역.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
공고번호,세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공.hwp,,,,,조치 불필요(파일명을 doc_id로 사용 중)
