id,query,fact_coverage_base,fully_covered_base,fact_coverage_pc,fully_covered_pc
B13,재난 관련 시스템 구축 사업 알려줘,1.0,True,1.0,True
B14,긴급으로 진행되는 사업 알려줘,0.0,False,0.0,False
B15,3개월 이내로 끝나는 짧은 사업 있어?,0.08333333333333333,False,0.08333333333333333,False
B16,보안 관련 시스템 구축 사업 알려줘,0.5,False,0.5,False
B17,발주기관이 지방자치단체인 사업 알려줘,0.2222222222222222,False,0.2222222222222222,False
B18,발주기관이 OO공사인 사업 알려줘,0.07142857142857142,False,0.07142857142857142,False
B19,고려대학교랑 광주과학기술원 사업 중 예산이 더 큰 건?,0.0,False,0.0,False
B20,한국원자력연구원 선량평가시스템 사업이 왜 추진되는지 목적을 알려줘,1.0,True,1.0,True
B21,재난 관련 사업 중 예산이 5억 이상인 것만 알려줘,0.5,False,0.5,False
B22,학교 발주 사업 중에서 예산이 가장 큰 곳은?,0.0,False,0.0,False
B23,봉화군 재난통합관리시스템과 충북연구원 재난안전데이터 사업의 공통점과 차이점은?,0.0,False,0.0,False
B24,지방자치단체가 발주한 사업 중 예산이 1억 이상인 것만 알려줘,0.0,False,0.0,False
B25,AI 관련 시스템 구축 사업 중 예산이 1억 이상인 것만 알려줘,0.15384615384615385,False,0.15384615384615385,False
H2,대전대가 여러 분야의 학습 경험을 연결하는 MILE 플랫폼을 도입하는 데 배정한 금액은 얼마인가요?,1.0,True,1.0,True
H11,2세대 전자조달시스템 기반구축사업은 어떤 목적으로 추진되나요?,1.0,True,1.0,True
H12,울산광역시 버스정보시스템 확대 구축 및 기능개선 용역은 무엇을 하는 사업인가요?,0.3333333333333333,False,0.6666666666666666,False
H13,의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업의 목적은 무엇인가요?,1.0,True,1.0,True
H14,한국원자력연구원 선량평가시스템 고도화 사업은 어떤 기능을 추가하나요?,1.0,True,1.0,True
H15,평택시 강소형 스마트시티 AI 기반 영상감시 시스템 사업은 어떤 기술을 활용하나요?,0.6666666666666666,False,0.6666666666666666,False
H16,국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 내용은 무엇인가요?,0.6666666666666666,False,0.6666666666666666,False
H17,실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업은 무엇을 변경하나요?,1.0,True,1.0,True
H18,수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 사업은 어떤 사업인가요?,0.3333333333333333,False,0.3333333333333333,False
H19,수도사업장 통합 사고분석솔루션 시범구축 용역의 하자보수보증금율은 얼마인가요?,0.0,False,0.0,False
H20,철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역의 평가 배점은?,0.0,False,0.0,False
H21,2025년도 행정정보시스템 위탁운영사업은 어떤 계약 방식으로 체결되며 예산은 얼마인가요?,1.0,True,1.0,True
H22,의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업의 낙찰자 결정방식은?,0.0,False,1.0,True
H23,대학재정정보시스템(기본재산 및 기채 사후관리) 고도화 사업에서 하도급은 허용되나요?,0.0,False,0.6666666666666666,False
H24,2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선 사업의 사업기간과 사업금액은?,1.0,True,1.0,True
H25,봉화군 재난통합관리시스템 고도화 사업(협상)(긴급)의 추진일정은 며칠인가요?,1.0,True,1.0,True
PS1,부산국제영화제가 온라인 행사 서비스를 다시 개발하고 운영 지원을 받는 용역에 편성한 금액은 얼마인가요? 세금 포함 여부도 알려주세요.,0.0,False,0.0,False
PS2,국고보조금 업무 사이트를 장애인도 쉽게 이용할 수 있도록 점검·개선하는 컨설팅은 얼마나 진행되며 예산은 얼마인가요?,0.0,False,0.0,False
PS3,"인천의 해양 박물관이 소장자료 관리 체계를 새로 만드는 장기계속계약은 단계별 기간이 어떻게 나뉘며, 기술과 가격은 어떤 비율로 평가하나요?",0.0,False,0.0,False
PS4,"국가자격 시험 결과물을 무선 태그로 관리하려는 시범사업은 계약 후 얼마나 진행되고, 처음 적용하는 기관은 몇 곳인가요?",0.0,False,0.0,False
PS5,서민금융 채팅 상담시스템 입찰에서 입찰서와 제안서는 어떻게 제출하고 파일형식·용량 제한은?,0.0,False,0.0,False
PS6,종량제봉투 판매관리 전산시스템 개선사업에서 핵심 기능과 기존 데이터 이관 범위는?,0.0,False,0.0,False
PS7,서울 디지털성범죄 안심지원센터 통합 사업에서 AI 삭제지원 관련 주요 구축 범위,0.0,False,0.0,False
PS8,"우즈벡-키르기즈스탄 스마트 관개시스템 용역의 기간, 금액, 대상 지역",0.3333333333333333,False,0.3333333333333333,False
PS9,국립인천해양박물관 해양자료관리시스템 구축사가 검수 후 부담해야 할 유지관리·교육 의무,0.0,False,0.0,False
PS10,서민금융 채팅 상담시스템의 2억 3천만 원과 SW 직접구매 1억 340만 원 해석,0.0,False,0.0,False
PM1,검찰의 아태지역 사이버범죄 교육 플랫폼 개선 사업과 국가 교육과정 정보 제공 사이트 운영 사업 중 예산이 더 큰 쪽은 어디이며 차액은 얼마인가요?,0.0,False,0.0,False
PM2,파주시의 쓰레기봉투 판매 전산 개선 사업과 국고보조금 사이트 접근성 컨설팅을 비용과 기간 기준으로 비교해 주세요.,0.0,False,0.0,False
PM3,서울교육청 ISP와 인천일자리플랫폼 ISP의 사업기간·예산 비교,0.0,False,0.0,False
PM4,라오스 보건의료정보화 사전타당성조사와 모잠비크 ITS 타당성조사 비교,0.0,False,0.0,False
PM5,고려대 차세대 포털 사업과 인천해양박물관 자료관리시스템 사업의 구축기간·무상유지보수 비교,0.0,False,0.0,False
PM6,산단안전정보시스템과 차세대 응급의료 상황관리시스템 비교,0.0,False,0.0,False
PM7,BIFF&ACFM 사업과 서민금융 채팅상담 사업의 제안서 제출 방식만 비교,0.0,False,0.0,False
PM8,BIFF&ACFM 사업과 인천해양박물관 시스템 사업의 참가자격·공동수급·하도급 조건 비교,0.0,False,0.0,False
PM9,개발형 공고(채팅상담)와 컨설팅형 공고(e나라도움) 비교,0.0,False,0.0,False
PM10,꿀 품질평가 시스템과 원자력연 선량평가시스템 원문 예산 비교,0.0,False,0.0,False
